#,Company,Location_HQ,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in_$_mil,Year,lat,lng
2428,Gemini,New York City,USA,North America,100,2022-06-02,10.0,1000,900,Crypto,Unknown,$423,2022,40.71427,-74.00597
2429,Stord,Atlanta,USA,North America,59,2022-06-02,8.0,738,679,Logistics,Series D,$325,2022,33.749,-84.38798
2430,Gather,San Francisco Bay Area,USA,North America,30,2022-06-02,33.0,91,61,Consumer,Series B,$76,2022,37.44188,-122.14302
2432,IRL,San Francisco Bay Area,USA,North America,25,2022-06-02,25.0,100,75,Consumer,Series C,$197,2022,37.77493,-122.41942
2437,Cybereason,Boston,USA,North America,100,2022-06-01,6.0,1667,1567,Security,Series F,$750,2022,42.35843,-71.05977
2441,Loom,San Francisco Bay Area,USA,North America,34,2022-06-01,14.0,243,209,Product,Series C,$203,2022,37.77493,-122.41942
2449,Tomo,Stamford,USA,North America,44,2022-05-31,33.0,133,89,Finance,Series A,$110,2022,41.05343,-73.53873
2451,BookClub,Salt Lake City,USA,North America,12,2022-05-31,25.0,48,36,Education,Series A,$26,2022,40.76078,-111.89105
2467,Lacework,San Francisco Bay Area,USA,North America,300,2022-05-25,20.0,1500,1200,Security,Series D,$1900,2022,37.38605,-122.08385
2468,Bolt,San Francisco Bay Area,USA,North America,240,2022-05-25,27.0,889,649,Finance,Series E,$1300,2022,37.77493,-122.41942
2472,Coterie Insurance,Cincinnati,USA,North America,30,2022-05-25,20.0,150,120,Finance,Series B,$70,2022,39.12711,-84.51439
2483,ClickUp,San Diego,USA,North America,60,2022-05-23,7.0,857,797,Other,Series C,$537,2022,32.71571,-117.16472
2484,Airtime,New York City,USA,North America,30,2022-05-23,20.0,150,120,Consumer,Series B,$33,2022,40.71427,-74.00597
2487,Latch,New York City,USA,North America,130,2022-05-20,28.0,464,334,Security,Post-IPO,$342,2022,40.71427,-74.00597
2488,Outside,Boulder,USA,North America,87,2022-05-20,15.0,580,493,Media,Series B,$174,2022,40.01499,-105.27055
2489,Skillz,San Francisco Bay Area,USA,North America,70,2022-05-20,10.0,700,630,Consumer,Post-IPO,$287,2022,37.77493,-122.41942
2492,Netflix,San Francisco Bay Area,USA,North America,150,2022-05-17,1.0,15000,14850,Media,Post-IPO,$121900,2022,37.22661,-121.97468
2494,Picsart,Miami,USA,North America,90,2022-05-17,8.0,1125,1035,Consumer,Series C,$195,2022,25.77427,-80.19366
2504,DataRobot,Boston,USA,North America,70,2022-05-11,7.0,1000,930,Data,Series G,$1000,2022,42.35843,-71.05977
2505,Carvana,Phoenix,USA,North America,2500,2022-05-10,12.0,20833,18333,Transportation,Post-IPO,1600,2022,33.44838,-112.07404
2506,Doma,San Francisco Bay Area,USA,North America,310,2022-05-10,15.0,2067,1757,Finance,Post-IPO,$679,2022,37.77493,-122.41942
2508,Latch,New York City,USA,North America,30,2022-05-10,6.0,500,470,Security,Post-IPO,$342,2022,40.71427,-74.00597
2510,Vroom,New York City,USA,North America,270,2022-05-09,14.0,1929,1659,Transportation,Post-IPO,1300,2022,40.71427,-74.00597
2511,Reef,Miami,USA,North America,750,2022-05-06,5.0,15000,14250,Transportation,Unknown,1500,2022,25.77427,-80.19366
2515,Mural,San Francisco Bay Area,USA,North America,90,2022-05-05,10.0,900,810,Product,Series C,$192,2022,37.77493,-122.41942
2516,On Deck,San Francisco Bay Area,USA,North America,72,2022-05-05,25.0,288,216,Education,Series A,$20,2022,37.77493,-122.41942
2519,Cameo,Chicago,USA,North America,87,2022-05-04,25.0,348,261,Consumer,Unknown,$165,2022,41.85003,-87.65005
2520,Mainstreet,San Francisco Bay Area,USA,North America,45,2022-05-04,30.0,150,105,Finance,Series A,$64,2022,37.77493,-122.41942
2527,Domestika,San Francisco Bay Area,USA,North America,150,2022-04-28,19.0,789,639,Education,Series D,$130,2022,37.87159,-122.27275
2530,Robinhood,San Francisco Bay Area,USA,North America,340,2022-04-26,9.0,3778,3438,Finance,Post-IPO,$5600,2022,37.45383,-122.18219
2537,Blend,San Francisco Bay Area,USA,North America,200,2022-04-19,10.0,2000,1800,Finance,Post-IPO,$665,2022,37.77493,-122.41942
2544,Ahead,San Francisco Bay Area,USA,North America,44,2022-04-14,100.0,44,0,Healthcare,Unknown,$9,2022,37.77493,-122.41942
2546,Rad Power Bikes,Seattle,USA,North America,100,2022-04-12,14.0,714,614,Transportation,Series D,$329,2022,47.60621,-122.33207
2548,Food52,New York City,USA,North America,20,2022-04-08,10.0,200,180,Food,Acquired,$176,2022,40.71427,-74.00597
2558,Gopuff,Philadelphia,USA,North America,450,2022-03-29,3.0,15000,14550,Food,Series H,$3400,2022,39.95238,-75.16362
2565,Knock,New York City,USA,North America,115,2022-03-15,46.0,250,135,Real Estate,Unknown,$654,2022,40.71427,-74.00597
2568,Better.com,New York City,USA,North America,3000,2022-03-08,33.0,9091,6091,Real Estate,Unknown,$905,2022,40.71427,-74.00597
2569,Adaptive Biotechnology,Seattle,USA,North America,100,2022-03-08,12.0,833,733,Healthcare,Post-IPO,$406,2022,47.60621,-122.33207
2570,Hyperscience,New York City,USA,North America,100,2022-03-03,25.0,400,300,Data,Series E,$289,2022,40.71427,-74.00597
2572,Wish,San Francisco Bay Area,USA,North America,190,2022-03-01,15.0,1267,1077,Retail,Post-IPO,$1600,2022,37.77493,-122.41942
2576,Virgin Hyperloop,Los Angeles,USA,North America,111,2022-02-21,50.0,222,111,Transportation,Unknown,$368,2022,34.05223,-118.24368
2579,Homie,Salt Lake City,USA,North America,119,2022-02-14,29.0,410,291,Real Estate,Series B,$35,2022,40.76078,-111.89105
2581,Daily Harvest,New York City,USA,North America,60,2022-02-10,20.0,300,240,Food,Series D,$120,2022,40.71427,-74.00597
2582,Peloton,New York City,USA,North America,2800,2022-02-08,20.0,14000,11200,Fitness,Post-IPO,1900,2022,40.71427,-74.00597
2584,Rhino,New York City,USA,North America,57,2022-02-03,20.0,285,228,Real Estate,Unknown,$133,2022,40.71427,-74.00597
2585,Gopuff,Philadelphia,USA,North America,100,2022-01-26,0.6622516556291391,15100,15000,Food,Series H,$3400,2022,39.95238,-75.16362
2586,Glossier,New York City,USA,North America,80,2022-01-26,33.0,242,162,Consumer,Series E,$266,2022,40.71427,-74.00597
3272,Discord,San Francisco Bay Area,USA,North America,170,2024-11-01,17.0,1000,830,Consumer,Series H,$995,2024,37.77493,-122.41942
3274,Audible,New York City,USA,North America,100,2024-11-01,5.0,2000,1900,Media,Acquired,$14,2024,40.71427,-74.00597
3275,Sisense,New York City,USA,North America,60,2024-11-01,13.0,462,402,Data,Series F,$274,2024,40.71427,-74.00597
3277,Google,San Francisco Bay Area,USA,North America,1000,2024-10-01,0.5319148936170213,188000,187000,Consumer,Post-IPO,$26,2024,37.38605,-122.08385
3279,Instagram,San Francisco Bay Area,USA,North America,60,2024-10-01,13.33333333333333,450,390,Consumer,Acquired,$57,2024,37.45383,-122.18219
3281,Twitch,San Francisco Bay Area,USA,North America,500,2024-09-01,35.0,1429,929,Consumer,Acquired,$35,2024,37.77493,-122.41942
3282,Nevro,San Francisco Bay Area,USA,North America,63,2024-09-01,5.0,1260,1197,Healthcare,Post-IPO,$556,2024,37.48522,-122.23635
3283,Rent the Runway,New York City,USA,North America,37,2024-09-01,10.0,370,333,Retail,Post-IPO,$526,2024,40.71427,-74.00597
3284,Humane,San Francisco Bay Area,USA,North America,10,2024-09-01,4.0,250,240,Hardware,Series C,$230,2024,37.77493,-122.41942
3285,Unity,San Francisco Bay Area,USA,North America,1800,2024-08-01,25.0,7200,5400,Other,Post-IPO,$1300,2024,37.77493,-122.41942
3288,NanoString Technology,Seattle,USA,North America,50,2024-08-01,9.0,556,506,Healthcare,Post-IPO,$826,2024,47.60621,-122.33207
3290,Frontdesk,Milwaukee,USA,North America,200,2024-02-01,100.0,200,0,Travel,Unknown,$26,2024,43.0389,-87.90647
